식별,,,분류,,보험 기간,가입조건,,,,,검수,,
40,전세사기 법률비용보험,롯데손해보험,이색·일상,"화재, 실화배상책임, 화재벌금, 임시거주비, 가재도난, 임차자배상책임, 폭발, 파열, 잠금장치교체, 유리파손, 건물위험, 주택, 전세, 월세","1,095",19,79,all,"만약 전세사기 당하면 어떻게 하지?
내가 들어갈 전셋집은 괜찮을까?
사회 초년생일수록 안심은 금물!
전세사기로 빈털터리인데 소송은 어떻게 하지? 보증금 반환 소송 시 최대 800만원
내 돈 내놓으라고 돈 들여 소송해야 하나? 보증금 강제집행을 의한 변호사 선임 시 최대 400만원
임대차 계약 개시 후 3개월 이내라면 언제든지 가입 가능!
원하는 플랜 선택 가입 가능!",https://alice.lotteins.co.kr/product/jeonse/main,,,
41,자전거보험,롯데손해보험,레저·스포츠,"자전거, 자전거배상책임, 자전거벌금, 교통사고처리지원금, 골절 ,5대골절, 깁스, 화상, 일원일당, 독액성동물중독, 라이딩",365,6,64,all,"장비빨 만으로는 안심할 수 없다!
라이딩 하다 발생할 수 있는 자전거 사고
자전거 타다가 실수로 남을 충격해서 다치게 했을 때 자전거 배상책임 최대 500만원 보장
자전거 타다가 부주의로 혼자 다쳤을 때 골절 진단 시 최대 50만원
부상으로 인한 깁스 치료 시 최대 30만원
예측할 수 없는 자전거 교통사고 교통사고 처리지원금 최대 3000만원 보장
교통사고 벌금 최대 2000만원 보장
친구들과 자전거로 등교하는 아이 안전도 든든하게 대비!
라이딩에 진심인 가족, 친구에게 선물도 가능!",https://alice.lotteins.co.kr/product/bike/main,,,
42,스크린골프보험,롯데손해보험,레저·스포츠,"스크린골프, 홀인원, 골프존, 에스지엠, 카카오스페이스, 기념품, 만찬비용, 라운드비용, 단체계약",1,19,79,all,"스크린 골프 홀인원! 좋기는 한데, 한 턱 낼 수도 있다.
스크린 골프 치다가 홀인원을 했다면? 홀인원 축하 비용 20만원 보장
필요한 날 하루만 부담 없이 가입 가능 1인 보험료 1150원 4인 보험료 4620원
가족, 친구 최대 4명까지 동반 가입 가능
스크린 골프 시작 전, 즉시 가입도, 미리, 예약 가입도 가능!
",https://alice.lotteins.co.kr/product/screenGolf/main,,,
65,삼성 미니 암보험,삼성생명,신체·질환,"암, 건강검진, 병원",365,19,69,all,"주요 사망 원인 3대 질병 진단, 치료, 재활까지 보장
건강한 고객이라면 보험료 약 17.1% 할인! (건강조건 모두 충족시)
갑작스러운 사고나 질병으로부터
가장의 빈자리를 지키고 싶은 분사망보험금 최대 3억원까지 가입 가능",https://direct.samsunglife.com/product/plan/ProductPlanSubMain,,미니보험 목록,
66,"삼성 마음모아 미니상해보험(2403)(무배당)
# 재해골절, 깁스보장# 보험선물
",삼성생명,생활,"깁스, 골절, 일상, 부상",365,20,64,all,"생활 속에서 든든하게 보장받고 골프 스윙 시 발생되는 늑골피로골절 보장 (재해골절(치아파절제외) 진단, 깁스치료(부목제외))
일시납 후 1년 보장 생활스포츠, 여행 및 일상에서 상해는 언제든지 일어날 수 있어요! (일시납으로 365일 든든하게 보장받아요)",https://direct.samsunglife.com/heart.eds,,,
67,"S교통상해 보험
# 택시, 기차, 비행기 사고까지 보장
",삼성생명,교통·이동,"버스, 지하철, 출퇴근, 대중교통",365,20,64,all,"일반 교통수단을 위한 교통재해로 사망 또는 장애(특약) 진단 시 보장플랜
일반 차량 탑승 중에, 운행중 교통기관 사고, 승강장 대기 중에 사고를 당해도 모두 보장 

1번 납입으로 1년 보장 매일 이용하는 교통 수단에서 매년 20만건 이상 교통사고 발생
교통사고 상해보험을 가입한 사람은 16.6%에 불과해요. 즉 5명 중 4명은 대비가 부족해요!
",https://direct.samsunglife.com/product/plan/ProductPlanSubMain,,"보험사(현대해상, DB손해보험) 웹사이트는 외부(엑셀 등)에서 특정 상품의 상세 페이지(.do 링크)로 다이렉트 접속을 시도할 경우, 비정상적인 접근으로 간주하여 보안 솔루션(MBUSTER 등)이 차단하거나 메인 홈으로 튕겨냅니다.",
68,삼성 1일 하이킹 보험,삼성생명,레저·스포츠,"산책, 트레킹, 공원, 산",1,19(0),69(10),all,"간편하게 가입하는 취미활동, 스포츠, 일상생활 속 콤팩트한 골절상해보험
생활 속 스포츠 이제는 일상이 되었어요
치료비 부담없이 5대재해골절 및 재해골절 수술 보장
재해골절수술과 5대재해골절 수술을 보장해요.",https://direct.samsunglife.com/psports.eds,,"삼성생명의 미니보험(암, 일상생활, 하이킹 등)은 현재 PC 다이렉트 웹에서 상품 페이지가 내려갔으며, 자사 모바일 앱인 '모니모(Monimo)' 전용 상품으로 완전히 전환되어 기존 웹 URL이 404 에러를 냅니다.",
69,DB손해보험 다이렉트 원데이자동차보험,DB손해보험,교통·이동,"자동차, 렌터카, 초보운전, 운전대",1,19,69,all,"다른 사람 자동차나 렌터카를 운전할 때 필요한 기간만, 가입 즉시 보장 가능 1일부터 최대 10일까지 선택가능 가입 당일 즉시 보험 개시 가능
대인, 대물배상은 물론 자기신체사고, 타인자동차손해, 법률비용지원금 보장 특약 가입 시",https://www.directdb.co.kr,,https://m.blog.naver.com/inmotion99/223285474213,
70,"DB 손해보험 다이렉트
골프보험(1년이내)",DB손해보험,레저·스포츠,"등산, 등산화, 산, 배낭",1,19,69,all,"하루부터 1년까지 부담없는 가격으로!
장기간 가입에 대한 부담없이 원하는 기간 선택 가능!

골프 중 발생 가능한 상해사고에 대비 해당 특약가입 시

골프채, 골프공에 타인이 맞을 경우 법률상 배상책임 보장 해당 특약가입 시

골프용품의 도난, 파손손해보장 해당 특약가입 시
단, 분실손해 보상 제외

홀인원 시 기념품, 축하 비용 등 지급 해당 특약가입 시
단, 깔때기홀 홀인원은 보상 제외

인터넷가입 평균 14.5% 저렴 자사 오프라인 대비",https://www.directdb.co.kr/gnrl/prd/lise/golf/custInfoView.do?searchPdcCd=10545&searchPdcTrtHistCd=00&pdcDvcd=g_golf&__cmToken__=6d10fc3d-56b3-4cba-b559-b9eaa66d3922,,"레저-골프
이동, 골프도구, 상해 등등 따지는게 많음.
특히 일반/고급에 따라 달라짐
기간도 협의가 가능하다고함...?",
71,"
굿앤굿우리펫보험",현대해상,반려동물,"강아지, 고양이, 산책, 동물병원",365,19,69,all,"아플 때 지켜주고 싶으니까 우리 댕댕이를 위한 반려견 실손의료비보험
설채현 수의사가 제안한 항암약물 치료 확대보장 출시되었어요!
※ 특약 가입 시

필요한 치료를 망설이지 않도록 입원·통원·수술 의료비 보장! (특약 가입 시)

예기치 못한 사고도 대비해요 배상책임·벌금·위탁비용 보장! (특약 가입 시)

오랜 시간 함께하기 위해 최소2%~최대25% 보장보험료 할인!
동물등록 2% 예방접종 2% 국가봉사동물 8% 다둥이(4마리) 10% 헌혈견 3%",https://www.directdb.co.kr/ltm/prd/cpnm/custInfoView.do?searchPdcCd=31119&searchPdcTrtHistCd=00&pdcDvcd=l_pet_dog&__cmToken__=df8ee6c4-0585-4ee8-883d-ece2ef09d51f,,"펫 보험이 진짜 세세하게 따지니까
계산이 너무 달라지는데, 일단
평균치 내달라해서 냄",
72,현대해상 다이렉트 운전자보험,현대해상,교통·이동,"카셰어링, 쏘카, 드라이브, 자동차",1,19,69,all,"왜 현대해상 다이렉트로 가입해야 할까요?
저렴한 보험료 안전운전자용 신설!
3년 무사고 고객은 해당 특약 20% 할인

현대해상 자동차보험 고객 7% 할인
매월 보험료 7% 할인

현대해상 오프라인 대비 저렴한 보험료
판매수수료 없이 같은 보장을 더 저렴하게

운전자 비용 든든하게 보장
형사합의금, 벌금, 변호사선임비(특약)",https://direct.hi.co.kr/service.do?m=3a5a96a226,,,
73,하이카 다이렉트 해외여행보험,현대해상,여행,"해외여행, 공항, 비행기, 캐리어",7,19,69,all,"왜 현대해상 다이렉트로 가입해야 할까요?
평균 59% 할인으로 가볍게
자사 오프라인 대비 저렴
동반인 함께 가입 시 10% 추가 할인

발생하기 쉬운 사고 보장
휴대품 손해(분실제외)보장, 비행기 지연 보장
(특약 가입 시)

24시간 편리한 우리말 상담 서비스
+82-2-3701-8500(로밍 시 통화비용 발생)

여권분실부터 배상책임까지
여행에서 일어날 수 있는 다양한 상황에 대비
(특약 가입 시)",https://mdirect.hi.co.kr/service.do?m=817c44de32,,"현대해상은 선택지에 따라 보험료, 기간, 금액이 모두 다름
일단 평균치로 내서 올림",
74,"현대해상 다이렉트 레저/기타(골프, 스키 등)",현대해상,레저·스포츠,"골프, 스키, 레저, 스포츠",1,19,69,all,"왜 현대해상 다이렉트로 가입해야 할까요?
5% 할인으로 가볍게
자사 오프라인 대비 저렴

다쳤을 때도 다치게 했을 때도
나 뿐만 아니라 타인에게 끼친 손해도 보장

홀인원의 기쁨도 함께
축하회, 기념식수 비용 보장(정규 18홀 경기 중)
(특약 가입 시)

가입기간은 내가 원하는 대로
1개월, 3개월, 6개월, 9개월, 1년까지 선택",https://mdirect.hi.co.kr/service.do?m=074b8f3cf5,,,
79,라플레이(무)교보라플 실속보험,교보라이프플래닛,신체·질환,"강력범죄피해, 급성심근경색증, 특정3개힘줄손상, 깁스(부목제외), 재해골절(치아파절 제외)",365,19,60,all,"러닝 중 마주칠 수 있는 5가지 위험 365일 동안 보장
(러닝 하던 중 심장이 아파올 때, 밤늦게 운동 중에 강력범죄피해를 입었을 때, 무리하게 달려서 힘줄손상 수술이 필요할 때, 달리다 넘어져 골절이 되었을 때, 부상으로 깁스 치료가 필요할 때)",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
80,독서(무)교보라플 실속보험,교보라이프플래닛,독서·문화,VDT증후군,365,19,60,all,"- VDT증후군,특정안과질환 365일 동안 보장
- 장시간 독서로 나타날 수 있는 VDT증후군 (눈의 피로, 잦은 충혈, 눈부심, 이물감, 손목 통증 또는 저림, 목어깨 통증)",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
81,아웃도어(무)교보라플 실속보험,교보라이프플래닛,신체·질환,"특정법정감염병, 독액성동물접촉중독, 온열질환, 한랭질환, 재해골절(치아파절 제외), 특정식중독",365,19,60,all,"봄바람과 함께 시작하는 나들이, 나가기 전에 가볍게 준비하세요!",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
82,공항장애(무)교보라플 실속보험,교보라이프플래닛,신체·질환,공항장애,365,19,60,all,"갑자기 숨이 막혀요.공황장애 진단시 10만원 (숨이 막히는 느낌, 과호흡, 가슴통증, 답답함, 어지럼증, 쓰러질 것 같은 느낌, 손발 저림, 식은땀, 몸떨림, 이러다 죽을 것 아닐까 하는 극심한 공포)",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
83,번아웃(무)교보라플 실속보험,교보라이프플래닛,신체·질환,번아웃증후군,365,19,60,all,"번아웃이 이어져 우울에피소드 진단시 10만원 보장 (수면 및 식욕, 체중의 변화, 만성적인 피로감, 두통,소화불량 등 신체 통증, 지속적인 우울감과 공허함, 무기력함, 미래에 대한 비관적인 생각)",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
84,응급실(무)교보라플 실속보험,교보라이프플래닛,신체·질환,응급환자응급실내원진료,"1,095",19,60,all,응급환자로 응급실 내원 진료 보장 받을 수 있어요,https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
85,독감(무)교보라플 실속보험,교보라이프플래닛,신체·질환,독감(인플루엔자)치료,365,19,60,all,독감(인플루엔자)치료를 365일 동안 보장받을 수 있어요.,https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
86,힘줄손상(무)교보라플 실속보험,교보라이프플래닛,신체·질환,특정3대힘줄손상,"1,095",19,60,all,"특정3대힘줄손상 3년동안 보장 받을 수 있어요.
특정3대힘줄손상으로 수술시 20만원 보장",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
87,골절(무)교보라플 실속보험,교보라이프플래닛,신체·질환,재해골절(치아파절 제외),"1,095",19,60,all,열심히 달리다 재해골절 진단시 20만원,https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
88,허리지켜(무)교보라플 실속보험,교보라이프플래닛,신체·질환,특정척추질환,"1,095",19,60,all,"허리가 아파서 입원시 최대 120만원
특정척추질환 보장 받을 수 있어요.",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
89,식중독(무)교보라플 실속보험,교보라이프플래닛,신체·질환,특정식중독,"1,095",19,60,all,잘못먹어서 식중독 입원시 최대 120만원,https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
90,바이러스(무)교보라플 실속보험,교보라이프플래닛,신체·질환,특정법정감염법,"1,095",19,60,all,"전염성 높은 바이러스 질환 진단시 50만원
일본뇌염, 홍역 등 바이러스 질환 3년동안 보장받을 수 있어요.",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
91,대중교통(무)교보라플 실속보험,교보라이프플래닛,교통·이동,대중교통 이용 중 교통재해 사망,"1,095",19,60,all,"대중교통 이용중 교통사고 시 5천만원
대중교통 이용중 교통재해사망 3년동안 보장받을 수 있어요",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
92,뇌출혈(무)교보라플 실속보험,교보라이프플래닛,신체·질환,뇌출혈,"1,095",19,60,all,"뇌출혈 진단시 3백만원
뇌출혈 3년동안 보장받을 수 있어요",https://www.lifeplanet.co.kr/lpds2/common/cm/CM03001S.dev?inflow=JE,,,
93,무배당 뼈대있는 깁스보험,메트라이프,신체·질환,깁스,365,20,70,all,"스포츠활동 걱정없이 하고 싶다면? 어른이를 위한 운동 전 필수 준비물
쉽고 빠르게! 3분 안에 가입 가능한 보험으로 안전한 레저활동을 준비하세요.",https://online.metlife.co.kr/product/detail?productCodeFixed=A0660&insuranceCodeFixed=12198,,,
94,무배당 뼈 미니 재해골절보험,메트라이프,신체·질환,재해골절,365,20,80,all,"스포츠활동 걱정없이 하고 싶다면? 어른이를 위한 운동 전 필수 준비물
쉽고 빠르게! 3분 안에 가입 가능한 보험으로 안전한 레저활동을 준비하세요.",https://online.metlife.co.kr/product/detail?productCodeFixed=A0660&insuranceCodeFixed=12198,,,
95,무배당 메트라이프 교통재해사망보험,메트라이프,교통·이동,교통재해사망,365,20,70,all,"흔히 택시를 타거나, 여행지에서 렌터카를 빌리거나, 출퇴근길 버스를 이용할 대도 교통사고 발생할 수 있습니다.
매일 출퇴근, 각종 대중교통 및 차량을 이용 해야되는 직장인, 대학생에게는 교통사고에 노출이 될 수 밖에 없습니다.
대중교통 또는 차량이용 중 발생할 수 있는 사망사고에 대비할 수 있습니다.
- 매일 대중교통으로 출퇴근할 때 발생할 수 있는 사망사고 대비
- 장거리 여행에서 생길 수 있는 사망사고 대비
- 자전거 엘리베이터 및 에스컬레이터 등 일상생활에서 발생할 수 있는 사망사고 대비
- 보행 중 교통사망사고 대비",https://online.metlife.co.kr/product/detail?productCodeFixed=A0549&insuranceCodeFixed=11828,,,
96,무배당 메트라이프 mini 재해보험,메트라이프,신체·질환,골절(치아파절 제외),365,20,70,all,"재해보험, 이런분들께 추천합니다
- 평소 이동시 자전거를 자주 이용하시는 분
- 매일 대중교통으로 출퇴근 하시는 분
- 등산 및 캠핑처럼 레저생활을 평소에 즐기는 분
- 일상생활에서 우발적인 외래 사고에 대비하고 싶으신 분",https://online.metlife.co.kr/product/detail?productCodeFixed=A0551&insuranceCodeFixed=11833,,,
97,무배당 위십이지장및대장용종진단보험,메트라이프,신체·질환,위십이지장 및 대장 양성신생물(용종포함),365,20,55,all,"요즘 2030들의 위험한 식습관
작은 용종 하나가 더 큰 병이 되어서 찾아올 수도 있다면?
12시간 금식만큼 중요한 용종 진단 보험 가입!
용종이 발견만 되어도 10만원 주니까 건강검진 끝나고 맛있는거 먹어야지~",https://online.metlife.co.kr/product/detail?productCodeFixed=A0560&insuranceCodeFixed=11853,,,
98,무배당 iLove아이보험,메트라이프,신체·질환,"어린이질환수술, 화상수술, 주요법정감염병",365,0,14,all,"우리 아이를 사랑하는 엄마아빠의 마음을 전달할 수 있는 특별한 선물 '보험'
어린이질환 수술보험금, 화상수술보험금, 주요법정감염병 치료비 보장
재해골절 치료비, 깁스 치료비 보장
우리 아이 성장 시기별 맞춤 보장",https://online.metlife.co.kr/product/detail?productCodeFixed=A0559&insuranceCodeFixed=11852,,,
99,무배당 메트라이프 위암및식도암진단보험,메트라이프,신체·질환,위암 및 식도암,365,20,60,all,"한국인에게 가장 취약한 암, 발생율 1위 위암
식도암, 지나친 음주와 흡연이 주범",https://online.metlife.co.kr/product/detail?productCodeFixed=A0550&insuranceCodeFixed=11829,,,
100,무배당 메트라이프 폐암및후두암진단보험,메트라이프,신체·질환,폐암 및 후두암,365,20,60,all,"증상 거의 없어 조기진단이 어려운 폐암, 잘 대비하고 계신 가요?",https://online.metlife.co.kr/product/detail?productCodeFixed=A0550&insuranceCodeFixed=11830,,,
101,무배당 메트라이프 간암및췌장암진단보험,메트라이프,신체·질환,간암 및 췌장암,365,20,60,all,"한국 남성이라면 꼭 대비해야하는, 침묵의 암 '간암'
췌장암 5년 생존율 1502% 불과, 암 중 생존율 가장 낮아",https://online.metlife.co.kr/product/detail?productCodeFixed=A0550&insuranceCodeFixed=11831,,,
102,무배당 메트라이프 대장암및소장암진단보험,메트라이프,신체·질환,대장암 및 소장암,365,20,60,all,"39년째 사망원인 1위 '암'
3대 암이라고 불리는 대장암, 3번째로 많이 발병
혹시 붉은 육류를 즐겨 드시고 계신가요? 이런 분들은 대장암 및 소장암에 대한 대비가 필요합니다.",https://online.metlife.co.kr/product/detail?productCodeFixed=A0550&insuranceCodeFixed=11832,,,
103,교보e독서안심보험,교보생명,독서·문화,"척추질환, 시각질환, VDT질환",365,20,60,all,"독서로 인해 발생할 수 있는 질환 보장. 오랜 독서로 인해 발생 가능한 시각, 근골격계, 척추질환 보장. 점차 증가하는 VDT 증후군 및 척추질환 환자! 미리미리 준비하세요!",https://www.kyobo.com/dgt/web/customer/utilization-guidance/mobile-app-utilization-guidance?tab=04,,,
104,교보e용종케어보험,교보생명,신체·질환,"3대기관(위,십이지장, 대장) + 9대기관 (간, 담관 및 췌장, 갑상선, 남성생식기관, 여성생식기관, 소장, 흉곽내기관, 골, 호르몬기관) ","1,095",20,60,all,"건강검진 전 필수. 위, 대장 용종수술비 보장. 자궁근종, 갑상선 등 9대 기관 수술 보장, 딱 한번의 보험료 납입. 가입 후 1-3일 내 보장. 3개 기관 + 9대기관 내시경 검사 중 용종 제거 수술시 10만원 보장",https://www.kyobo.com/dgt/web/customer/utilization-guidance/mobile-app-utilization-guidance?tab=04,,"1년만기, 3년만기",
105,교보e감염케어보험,교보생명,신체·질환,"주요법정감염병, 특정감염병, 식중독, 독감치료, 응급실내원","1,095",20,60,all,"우리를 위협하는 다양한 감염질환 미리미리 대비하세요
독감, 식중독 등 계절별로 유행하는 각종 바이러스성 감염질환을 보장해드려요
- 식중독, 특정감염병 입원 시 보장
- 독감(인플루엔자) 치료 보장
- 응급실 내원 보장",https://www.kyobo.com/dgt/web/customer/utilization-guidance/mobile-app-utilization-guidance?tab=04,,"1년만기, 3년만기 ",
106,교보e상해케어보험,교보생명,신체·질환,"강력범죄위로, 깁스치료, 골절(치아파절 제외), 응급실내원, 재해입원, 재해수술, 특정외모상해수술",365,20,60,all,"강력범죄 발생 시 강력한 쉴드 사고 1회당 300만원
깁스, 재해골절치료비 뿐만 아니라 응급실 내원 보장까지
월 천원대로 각종 사건,사고 보장 교보e상해케어보험 23.11 (무배당)
",https://www.kyobo.com/dgt/web/customer/utilization-guidance/mobile-app-utilization-guidance?tab=05,,"월납, 연납 다름",
